accession	strain	subtype	date	host	host_common_name	location	region	passage_history	length
CY010804.1	A/New York/614/1995	H1N1	1995-12-13	Homo sapiens		USA: Suffolk county, NY	North America	RhMK 2 passage(s)	1749
CY010492.1	A/New York/605/1995	H1N1	1995-12-14	Homo sapiens		USA: Suffolk county, NY	North America	RhMK 2 passage(s)	1749
CY016963.1	A/New York/633/1995	H1N1	1995-12-15	Homo sapiens		USA: Onondaga County, NY	North America	RhMK 2 passage(s)	1716
CY013871.1	A/New York/616/1995	H1N1	1995-12-18	Homo sapiens		USA: Onondaga county, NY	North America	RhMK 2 passage(s)	1723
CY036839.1	A/Siena/14/1995	H1N1	1995-12-19	Homo sapiens		Italy: Siena	Europe	Eggs passage(s)	1723
CY012864.1	A/New York/642/1995	H1N1	1995-12-27	Homo sapiens		USA: Onondaga county, NY	North America	RhMK 2 passage(s)	1738
CY012856.1	A/New York/630/1995	H1N1	1995-12-28	Homo sapiens		USA: Schenectady county, NY	North America	RhMK 1 passage(s)	1740
CY010844.2	A/New York/640/1996	H1N1	1996-01-02	Homo sapiens		USA: Onondaga county, NY	North America	RhMK 2 passage(s)	1733
CY010836.2	A/New York/653/1996	H1N1	1996-01-02	Homo sapiens		USA: Albany county, NY	North America	RhMK 1 passage(s)	1715
CY013287.1	A/New York/646/1996	H1N1	1996-01-08	Homo sapiens		USA: Onondaga county, NY	North America	RhMK 2 passage(s)	1738
CY011792.1	A/New York/626/1996	H1N1	1996-02-08	Homo sapiens		USA: Albany county, NY	North America	RhMK 1 passage(s)	1747
CY116159.1	A/swine/England/40280/1996	H1N2	1996-07-09	Sus scrofa		United Kingdom: England	Europe		1701
CY004504.1	A/mallard/Alberta/267/1996	H1N1	1996-08	Aves		Canada: Alberta	North America	P2 passages	1778
CY136936.1	A/pintail/Alberta/140/1996	H1N1	1996-08-02	Anas acuta		Canada: Alberta	North America	E1 passage(s)	1750
KF424098.1	A/mallard/Alberta/267/1996	H1N1	1996-08-26	Anas platyrhynchos		Canada: Alberta	North America		1710
CY116252.1	A/swine/England/636804/1996	H1N1	1996-10-25	Sus scrofa		United Kingdom: England	Europe		1701
CY116260.1	A/swine/England/645913/1996	H1N2	1996-12-20	Sus scrofa		United Kingdom: England	Europe		1701
CY119066.1	A/Malaysia/11641/1997	H1N1	1997-01-16	Homo sapiens		Malaysia	Asia	P1 passage(s)	1745
CY119074.1	A/Malaysia/11642/1997	H1N1	1997-01-16	Homo sapiens		Malaysia	Asia	P1 passage(s)	1745
CY116323.1	A/swine/England/88761/1997	H1N2	1997-02-03	Sus scrofa		United Kingdom: England	Europe		1701
CY116268.1	A/swine/England/661263/1997	H1N2	1997-02-11	Sus scrofa		United Kingdom: England	Europe		1701
CY115935.1	A/swine/England/101692/1997	H1N1	1997-04-24	Sus scrofa		United Kingdom: England	Europe		1701
CY117744.1	A/Malaysia/12530/1997	H1N1	1997-05-07	Homo sapiens		Malaysia	Asia	P1 passage(s)	1747
CY116004.1	A/swine/England/167655/1997	H1N1	1997-12-18	Sus scrofa		United Kingdom: England	Europe		1701
CY119114.1	A/Malaysia/14817/1997	H1N1	1997-12-31	Homo sapiens		Malaysia	Asia	P2 passage(s)	1747
CY119122.1	A/Malaysia/15042/1998	H1N1	1998-01-27	Homo sapiens		Malaysia	Asia	P3 passage(s)	1747
HQ709201.1	A/swine/Italy/62/1998	H1N2	1998-02	Sus scrofa		Italy	Europe		1720
CY116028.1	A/swine/England/193667/1998	H1N1	1998-03-04	Sus scrofa		United Kingdom: England	Europe		1701
CY136973.1	A/mallard/Alberta/119/1998	H1N1	1998-08-06	Anas platyrhynchos		Canada: Alberta	North America	E1 passage(s)	1749
KF424178.1	A/mallard/Alberta/119/1998	H1N1	1998-08-06	Anas platyrhynchos		Canada: Alberta	North America		1710
CY103733.1	A/mallard/Alberta/211/1998	H1N1	1998-08-08	Anas platyrhynchos		Canada: Alberta	North America	P2 passage(s)	1748
CY004507.1	A/mallard/ALB/201/1998	H1N1	1998-08-11	Aves		Canada: Alberta	North America		1777
KF424050.1	A/mallard/Alberta/201/1998	H1N1	1998-08-11	Anas platyrhynchos		Canada: Alberta	North America		1710
CY116244.1	A/swine/England/61605/1998	H1N2	1998-11-18	Sus scrofa		United Kingdom: England	Europe		1701
FJ839909.1	A/swine/Pingtung/7-12/1999	H1N2	1999-01-06	Sus scrofa		Taiwan	Asia		1701
KY765310.1	A/swine/Iowa/99-35233/1999	H1N1	1999-03-15	Sus scrofa		USA: Iowa	North America		1701
CY031336.1	A/New Caledonia/20/1999(H1N1)	H1N1	1999-06-09	Homo sapiens		New Caledonia	Oceania	E2 passage(s)	1775
CY116119.1	A/swine/England/35320/1999	H1N1	1999-06-16	Sus scrofa		United Kingdom: England	Europe		1701
MF682808.1	A/mallard duck/Netherlands/8/1999	H1N1	1999-09-22	Anas platyrhynchos		Netherlands	Europe		1777
KR700342.1	A/swine/Scotland/51190/1999	H1N2	1999-09-30	Sus scrofa		United Kingdom	Europe		1701
CY012824.1	A/mallard/Ohio/56/1999	H1N1	1999-10-16	Anas platyrhynchos		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1744
CY017725.1	A/pintail/Ohio/25/1999	H1N1	1999-10-16	Anas acuta		USA: OH	North America	Egg 2/limiting dilution in egg 1 passage(s)	1750
CY017717.1	A/green-winged teal/Ohio/72/1999	H1N1	1999-10-23	Anas carolinensis		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1744
CY016955.1	A/mallard/Ohio/66/1999	H1N1	1999-10-23	Anas platyrhynchos		USA: OH	North America	Egg 1/limiting dilution in egg 1 passage(s)	1744
CY116222.1	A/swine/England/57610/1999	H1N1	1999-11-12	Sus scrofa		United Kingdom: England	Europe		1701
CY040138.1	A/Taiwan/5072/1999	H1N1	1999-12-31	Homo sapiens		Taiwan: Taoyuan	Asia	MDCK1;E1 passage(s)	1719
OQ469499.1	A/mallard/USA/3508/2000	H1N1	2000-01	Anas platyrhynchos		USA	North America		1737
HQ709203.1	A/swine/Italy/18/2000	H1N2	2000-01	Sus scrofa		Italy	Europe		1726
CY116020.1	A/swine/England/17788/2000	H1N1	2000-03-17	Sus scrofa		United Kingdom: England	Europe		1701
CY000449.2	A/New York/146/2000	H1N1	2000-04-12	Homo sapiens		USA: Onondaga County, NY	North America	RhMK 2 passage(s)	1778
CY119098.1	A/Malaysia/14075/2000	H1N1	2000-04-24	Homo sapiens		Malaysia	Asia	P1 passage(s)	1745
CY119106.1	A/Malaysia/14210/2000	H1N1	2000-05-04	Homo sapiens		Malaysia	Asia	P1 passage(s)	1747
CY119090.1	A/Malaysia/14458/2000	H1N1	2000-06-08	Homo sapiens		Malaysia	Asia	P1 passage(s)	1745
FJ752502.1	A/swine/Changhua/199-3/2000	H1N1	2000-06-14	Sus scrofa		Taiwan	Asia		1701
CY010996.2	A/Wellington/2/2000	H1N1	2000-06-19	Homo sapiens		New Zealand: Wellington	Oceania		1733
KP456731.1	A/Wellington/2/2000	H1N1	2000-06-19	Homo sapiens		New Zealand	Oceania		1695
CY137040.1	A/pintail/Alberta/207/2000	H1N1	2000-07-16	Anas acuta		Canada: Alberta	North America	E1 passage(s)	1748
CY010380.1	A/Canterbury/8/2000	H1N1	2000-07-18	Homo sapiens		New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1727
CY011012.2	A/Wellington/5/2000	H1N1	2000-07-24	Homo sapiens		New Zealand: Invercargill	Oceania		1746
KP457202.1	A/Canterbury/28/2000	H1N1	2000-08-15	Homo sapiens		New Zealand	Oceania		1695
CY012600.1	A/Wellington/11/2000	H1N1	2000-08-23	Homo sapiens		New Zealand: Wellington	Oceania		1711
CY010116.1	A/Canterbury/58/2000	H1N1	2000-08-30	Homo sapiens		New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1722
CY009548.1	A/Canterbury/65/2000	H1N1	2000-09-02	Homo sapiens		New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1746
CY010388.1	A/Canterbury/63/2000	H1N1	2000-09-06	Homo sapiens		New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1746
KP458895.1	A/South Canterbury/59/2000	H1N1	2000-09-06	Homo sapiens		New Zealand	Oceania		1695
CY016196.1	A/Wellington/14/2000	H1N1	2000-09-06	Homo sapiens		New Zealand: Dannevirke	Oceania		1717
CY085350.1	A/swine/Hong Kong/NS143/2000	H1N1	2000-09-15	Sus scrofa		Hong Kong	Asia		1710
CY022493.1	A/Auckland/587/2000	H1N1	2000-09-19	Homo sapiens		New Zealand: Auckland	Oceania	MDCK passage(s)	1743
CY009796.1	A/Canterbury/79/2000	H1N1	2000-09-21	Homo sapiens		New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1746
KP456391.1	A/Auckland/590/2000	H1N1	2000-09-26	Homo sapiens		New Zealand	Oceania		1695
CY060178.1	A/common teal/Netherlands/10/2000	H1N1	2000-11-23	Anas crecca		Netherlands: Krimpen a/d Lek	Europe		1759
KP458129.1	A/New York/233/2000	H1N1	2000-12-19	Homo sapiens		USA: New York	North America		1695
CY002640.1	A/New York/233/2000	H1N1	2000-12-19	Homo sapiens		USA: Monroe County, NY	North America	RhMK 1 passage(s)	1748
CY116230.1	A/swine/England/60797/2000	H1N2	2000-12-22	Sus scrofa		United Kingdom: England	Europe		1701
GQ175960.2	A/swine/Italy/7704/2001	H1N1	2001-01	Sus scrofa		Italy	Europe		1701
CY002672.1	A/New York/310/2001	H1N1	2001-01-08	Homo sapiens		USA: Nassau County, NY	North America	Unknown 1 RhMK 1 passage(s)	1763
KP457087.1	A/New York/441/2001	H1N1	2001-01-08	Homo sapiens		USA: New York	North America		1695
CY115919.1	A/swine/England/004772/2001	H1N1	2001-01-15	Sus scrofa		United Kingdom: England	Europe		1701
KP457131.1	A/New York/309/2001	H1N1	2001-01-22	Homo sapiens		USA: New York	North America		1695
CY003472.1	A/New York/443/2001	H1N1	2001-01-22	Homo sapiens		USA: Nassau County, NY	North America	RhMK 2 passage(s)	1775
CY010852.1	A/New York/235/2001	H1N1	2001-01-23	Homo sapiens		USA: Onondaga county, NY	North America	RhMK 1 passage(s)	1731
KP459344.1	A/New York/241/2001	H1N1	2001-01-23	Homo sapiens		USA: New York	North America		1695
CY003320.1	A/New York/342/2001	H1N1	2001-01-25	Homo sapiens		USA: Onondaga County, NY	North America	RhMK 1 passage(s)	1747
KP458328.1	A/New York/342/2001	H1N1	2001-01-25	Homo sapiens		USA: New York	North America		1695
KP458979.1	A/New York/306/2001	H1N1	2001-02-03	Homo sapiens		USA: New York	North America		1695
KP457742.1	A/New York/281/2001	H1N1	2001-02-21	Homo sapiens		USA: New York	North America		1695
KP458998.1	A/New York/446/2001	H1N1	2001-02-21	Homo sapiens		USA: New York	North America		1695
CY003480.1	A/New York/446/2001	H1N1	2001-02-21	Homo sapiens		USA: New York County, NY	North America	RhMK 2 passage(s)	1748
CY002616.1	A/New York/208/2001	H1N1	2001-02-27	Homo sapiens		USA: Genesee County, NY	North America	RhMK 1 passage(s)	1754
KP456480.1	A/New York/208/2001	H1N1	2001-02-27	Homo sapiens		USA: New York	North America		1695
GQ229285.1	A/swine/Hong Kong/8512/2001	H1N1	2001-02-28	Sus scrofa		Hong Kong	Asia		1701
CY085406.2	A/swine/Hong Kong/8709/2001	H1N1	2001-03-27	Sus scrofa		Hong Kong	Asia		1732
KP459249.1	A/Wellington/3/2001	H1N1	2001-05-29	Homo sapiens		New Zealand	Oceania		1695
KP457496.1	A/Waikato/20/2001	H1N1	2001-06-05	Homo sapiens		New Zealand	Oceania		1695
CY011216.1	A/Wellington/9/2001	H1N1	2001-06-18	Homo sapiens		New Zealand: Tauranga	Oceania	MDCK passage(s)	1746
KP457954.1	A/South Canterbury/15/2001	H1N1	2001-06-22	Homo sapiens		New Zealand	Oceania		1695
CY011408.1	A/Canterbury/26/2001	H1N1	2001-06-29	Homo sapiens		New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1746
CY010212.1	A/Canterbury/30/2001	H1N1	2001-07-04	Homo sapiens		New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1746
CY022533.1	A/Auckland/605/2001	H1N1	2001-07-05	Homo sapiens		New Zealand: Auckland	Oceania	MDCK passage(s)	1743
KP456860.1	A/Canterbury/29/2001	H1N1	2001-07-05	Homo sapiens		New Zealand	Oceania		1695
KP457812.1	A/Canterbury/40/2001	H1N1	2001-07-09	Homo sapiens		New Zealand	Oceania		1695
CY010220.1	A/Canterbury/34/2001	H1N1	2001-07-10	Homo sapiens		New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1746
KP459237.1	A/Canterbury/42/2001	H1N1	2001-07-10	Homo sapiens		New Zealand	Oceania		1695
CY009972.1	A/Canterbury/76/2001	H1N1	2001-07-16	Homo sapiens		New Zealand: Canterbury	Oceania	MDCK2 passage(s)	1747
KP458015.1	A/Canterbury/69/2001	H1N1	2001-07-17	Homo sapiens		New Zealand	Oceania		1695
