accession	strain	subtype	date	host_specific	host_tax_id	host_general	host_order	location	region	passage_history	length
KC296480.1	A/Bilthoven/16190/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Netherlands	Europe		1765
KM821278.1	A/Bilthoven/16190/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Netherlands	Europe		1736
CY112241.1	A/Bilthoven/16398/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK7 MDCK1 passage(s)	1734
CY032977.1	A/Hong Kong/1-1-MA-20A/1968	H3N2	1968	Homo sapiens	9606	human	Primates		Asia	CD-1 Mouselung 20, MDCK plaque 2,+egg 2 passage(s)	1722
CY033073.1	A/Hong Kong/1-1-MA21-1/1968	H3N2	1968	Homo sapiens	9606	human	Primates		Asia	Mouselung 21+MDCK 2+egg 2 passage(s)	1714
CY033553.1	A/Hong Kong/1-11-MA21-3/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Hong Kong	Asia	Mouselung 21+MDCK 2+egg 2 passage(s)	1719
CY033569.1	A/Hong Kong/1-12-MA21-2/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Hong Kong	Asia	Mouselung 21+MDCK 2+egg 2 passage(s)	1719
CY045724.1	A/Hong Kong/1-5-MA21-1/1968	H3N2	1968	Homo sapiens	9606	human	Primates		Asia	Mouselung 21+MDCK 2+egg 2 passage(s)	1710
CY034028.1	A/Hong Kong/1-8-MA21-3/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Hong Kong	Asia	Mouselung 21+MDCK 2+egg 2 passage(s)	1717
CY033521.1	A/Hong Kong/1-9-MA21-2/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Hong Kong	Asia	Mouselung 21+MDCK 2+egg 2 passage(s)	1719
CY006211.1	A/Memphis/1/1968	H3N2	1968	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America	AM1 passage(s)	1722
CY147446.1	A/Northern Territories/60-JY2/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Australia: Northern Territories	Oceania	? + egg2 passage(s)	1735
CY011120.1	A/Northern Territory/60/1968	H3N2	1968	Homo sapiens	9606	human	Primates			Egg passage(s)	1729
CY146809.1	A/Victoria/JY2/1968	H3N2	1968	Homo sapiens	9606	human	Primates	Australia: Victoria	Oceania	? + egg2 passage(s)	1743
CY019899.1	A/Albany/1/1969	H3N2	1969	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 4 passage(s)	1724
CY019915.1	A/Albany/3/1969	H3N2	1969	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 3 passage(s)	1714
CY021837.1	A/Albany/4/1969	H3N2	1969	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	Amniotic 1 pRhMK 2 passage(s)	1743
CY113053.1	A/Bilthoven/17938/1969	H3N2	1969	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK2 MDCK1 passage(s)	1734
CY112257.1	A/Bilthoven/808/1969	H3N2	1969	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	E1 tMK2 MDCK1 passage(s)	1728
CY113045.1	A/Bilthoven/908/1969	H3N2	1969	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	E1 tMK2 MDCK1 passage(s)	1735
CY006299.1	A/Hong Kong/3/1969	H3N2	1969	Homo sapiens	9606	human	Primates	Hong Kong	Asia	passage(s)	1742
CY032397.1	A/equine/Sao Paulo/1/1969	H3N8	1969	Equus caballus	9796	non-human mammal	Perissodactyla	Brazil: Sao Paulo	South America		1725
CY022938.1	A/Albany/1/1970	H3N2	1970	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 3 passage(s)	1731
CY021085.1	A/Albany/2/1970	H3N2	1970	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 3 passage(s)	1730
CY022946.1	A/Albany/3/1970	H3N2	1970	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 2 passage(s)	1722
CY021117.1	A/Albany/6/1970	H3N2	1970	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 2 passage(s)	1724
CY112273.1	A/Bilthoven/2668/1970	H3N2	1970	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK3 MDCK1 passage(s)	1735
CY113061.1	A/Bilthoven/21438/1971	H3N2	1971	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK4 MDCK1 passage(s)	1737
CY113069.1	A/Bilthoven/21801/1971	H3N2	1971	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK5 MDCK1 passage(s)	1737
CY112281.1	A/Bilthoven/6449/1971	H3N2	1971	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK4 MDCK1 passage(s)	1734
CY112289.1	A/Hong Kong/107/1971	H3N2	1971	Homo sapiens	9606	human	Primates	Hong Kong	Asia	tMK4 MDCK1 passage(s)	1734
CY006683.1	A/Hong Kong/46/1971	H3N2	1971	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1727
CY002496.1	A/Memphis/1/1971	H3N2	1971	Homo sapiens	9606	human	Primates	USA	North America	EX passage(s)	1741
J02132.1	A/Memphis/1/1971	H3N2	1971								1765
CY021597.1	A/Memphis/3/1971	H3N2	1971	Homo sapiens	9606	human	Primates	USA: Memphis, TN	North America	P1 passage(s)	1724
CY034934.1	A/equine/Sachiyama/1/1971	H3N8	1971	Equus caballus	9796	non-human mammal	Perissodactyla	Japan: Sachiyama	Asia		1723
CY096915.1	A/equine/Tokyo/2/1971	H3N8	1971	Equus caballus	9796	non-human mammal	Perissodactyla	Japan: Tokyo	Asia		1725
CY077820.1	A/Bilthoven/21793/1972	H3N2	1972	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	xMDCK1 passage(s)	1756
CY113077.1	A/Bilthoven/23290/1972	H3N2	1972	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK1 MDCK1 passage(s)	1738
CY112297.1	A/Bilthoven/6022/1972	H3N2	1972	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK6 MDCK1 passage(s)	1734
CY113085.1	A/England/42/1972	H3N2	1972	Homo sapiens	9606	human	Primates	United Kingdom: England	Europe	tMK4 MDCK1 passage(s)	1734
CY009356.1	A/England/72	H3N2	1972	Homo sapiens	9606	human	Primates	United Kingdom	Europe	Egg passage(s)	1723
CY007971.1	A/Guandong/243/1972	H3N2	1972	Homo sapiens	9606	human	Primates	China:Guandong	Asia		1733
CY006307.1	A/Hong Kong/50/1972	H3N2	1972	Homo sapiens	9606	human	Primates	Hong Kong	Asia	passage(s)	1724
CY003552.1	A/Hong Kong/6/1972	H3N2	1972	Homo sapiens	9606	human	Primates	Hong Kong	Asia	passage(s)	1740
CY008676.1	A/Memphis/101/1972	H3N2	1972	Homo sapiens	9606	human	Primates	USA: Memphis, TN	North America	CL-1,E passage(s)	1724
CY002096.1	A/Memphis/102/1972	H3N2	1972	Homo sapiens	9606	human	Primates	USA	North America	EX passage(s)	1741
CY008460.1	A/Memphis/103/1972	H3N2	1972	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America		1724
CY008684.1	A/Memphis/105/1972	H3N2	1972	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America		1724
CY002744.1	A/Memphis/109/1972	H3N2	1972	Homo sapiens	9606	human	Primates	USA	North America	EX passage(s)	1748
DQ508929.1	A/Udorn/307/1972	H3N2	1972								1701
CY009636.1	A/Udorn/72	H3N2	1972	Homo sapiens	9606	human	Primates	Russia: Udorn	Europe	Egg passage(s)	1724
CY014702.1	A/duck/Chabarovsk/1610/1972	H3N8	1972	Aves	8782	avian		Russia: Chabarovsk	Europe		1765
CY130126.1	A/duck/Chabarovsk/1610/1972	H3N8	1972	Anatidae	8830	avian	Anseriformes	Russia: Chabarovsk	Europe		1740
CY032945.1	A/equine/Algiers/1/1972	H3N8	1972	Equus caballus	9796	non-human mammal	Perissodactyla	Algeria: Algiers	Africa		1717
CY113101.1	A/Bilthoven/3517/1973	H3N2	1973	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK1 MDCK1 passage(s)	1735
CY113093.1	A/Bilthoven/552/1973	H3N2	1973	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK2 MDCK1 passage(s)	1738
CY112321.1	A/Bilthoven/748/1973	H3N2	1973	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK3 MDCK1 passage(s)	1737
CY003528.1	A/Hong Kong/11/1973	H3N2	1973	Homo sapiens	9606	human	Primates	Hong Kong	Asia	passage(s)	1740
CY009004.1	A/Hong Kong/33/1973	H3N2	1973	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1740
CY006811.1	A/Memphis/3/1973	H3N2	1973	Homo sapiens	9606	human	Primates	USA: Memphis, TN	North America		1724
CY113109.1	A/Port Chalmers/1/1973	H3N2	1973	Homo sapiens	9606	human	Primates	New Zealand: Port Chalmers	Oceania	xMDCK2 passage(s)	1738
CY009348.1	A/Port Chalmers/1/1973	H3N2	1973	Homo sapiens	9606	human	Primates	New Zealand: Port Chalmers	Oceania	Egg passage(s)	1724
KF874501.2	A/Port Chalmers/1/1973	H3N2	1973								1701
CY121181.1	A/Port Chalmers/1/1973	H3N2	1973	Homo sapiens	9606	human	Primates	New Zealand: Port Chalmers	Oceania	Egg passage(s)	1740
CY147430.1	A/Port Chalmers/JY2/1973	H3N2	1973	Homo sapiens	9606	human	Primates	New Zealand: Port Chalmers	Oceania	? + egg2 passage(s)	1737
CY021093.1	A/Albany/20/1974	H3N2	1974	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 2 passage(s)	1719
CY112329.1	A/Bilthoven/5146/1974	H3N2	1974	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK2 MDCK1 passage(s)	1733
CY113117.1	A/Bilthoven/5930/1974	H3N2	1974	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK2 MDCK1 passage(s)	1734
CY113125.1	A/Bilthoven/5931/1974	H3N2	1974	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK1 MDCK1 passage(s)	1734
CY113133.1	A/Bilthoven/7398/1974	H3N2	1974	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK2 MDCK1 passage(s)	1738
CY113141.1	A/Bilthoven/9459/1974	H3N2	1974	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK3 MDCK1 passage(s)	1738
CY003496.1	A/Hong Kong/14/1974	H3N2	1974	Homo sapiens	9606	human	Primates	Hong Kong	Asia	P1 passage(s)	1738
CY006907.1	A/Hong Kong/49/1974	H3N2	1974	Homo sapiens	9606	human	Primates	Hong Kong	Asia		1740
CY006715.1	A/Memphis/101/1974	H3N2	1974	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America	passage(s)	1724
CY006819.1	A/Memphis/102/1974	H3N2	1974	Homo sapiens	9606	human	Primates	USA: Memphis, TN	North America		1724
CY006827.1	A/Memphis/103/1974	H3N2	1974	Homo sapiens	9606	human	Primates	USA: Memphis, TN	North America		1724
M73772.1	A/duck/Memphis/928/1974	H3N8	1974								1765
CY180724.1	A/duck/Minnesota/53/1974	H3N8	1974	Anatidae	8830	avian	Anseriformes	USA: Minnesota	North America		1732
CY180732.1	A/duck/Minnesota/54/1974	H3N8	1974	Anatidae	8830	avian	Anseriformes	USA: Minnesota	North America		1732
CY180740.1	A/duck/Minnesota/56/1974	H3N8	1974	Anatidae	8830	avian	Anseriformes	USA: Minnesota	North America		1732
CY181045.1	A/mallard/Wisconsin/22/1974	H3N5	1974	Anas platyrhynchos	8839	avian	Anseriformes	USA: DeSoto West, WI	North America		1740
CY021077.1	A/Albany/42/1975	H3N2	1975	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 2 passage(s)	1720
CY006044.1	A/Beijing/39/1975	H3N2	1975	Homo sapiens	9606	human	Primates	China:Beijing	Asia	passage(s)	1764
CY113157.1	A/Bilthoven/1843/1975	H3N2	1975	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK1 MDCK1 passage(s)	1734
CY113165.1	A/Bilthoven/2600/1975	H3N2	1975	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK1 MDCK1 passage(s)	1732
CY113173.1	A/Bilthoven/2813/1975	H3N2	1975	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK3 MDCK1 passage(s)	1735
CY113149.1	A/Bilthoven/334/1975	H3N2	1975	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK2 MDCK1 passage(s)	1736
CY112337.1	A/Bilthoven/4273/1975	H3N2	1975	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK1 MDCK1 passage(s)	1735
CY003728.1	A/Hong Kong/43/1975	H3N2	1975	Homo sapiens	9606	human	Primates	Hong Kong	Asia	passage(s)	1725
CY113181.1	A/Victoria/3/1975	H3N2	1975	Homo sapiens	9606	human	Primates	Australia: Victoria	Oceania	E3 tMK1 MDCK1 passage(s)	1740
CY121197.1	A/Victoria/3/1975	H3N2	1975	Homo sapiens	9606	human	Primates	Australia: Victoria	Oceania	Egg passage(s)	1743
CY179739.1	A/blue-winged teal/Wisconsin/279/1975	H3N8	1975	Spatula discors	75842	avian	Anseriformes	USA: Wisconsin	North America		1740
CY006026.1	A/duck/Hong Kong/7/1975	H3N2	1975	Aves	8782	avian		Hong Kong: Hong Kong	Asia		1765
CY180780.1	A/duck/Minnesota/12/1975	H3N8	1975	Anatidae	8830	avian	Anseriformes	USA: Minnesota	North America		1732
CY177574.1	A/duck/Minnesota/36/1975	H3N2	1975	Anatidae	8830	avian	Anseriformes	USA: Minnesota	North America		1732
CY179867.1	A/mallard/Wisconsin/17/1975	H3N5	1975	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1732
CY179723.1	A/mallard/Wisconsin/20/1975	H3N5	1975	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1732
CY179891.1	A/mallard/Wisconsin/52/1975	H3N5	1975	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1732
CY179731.1	A/mallard/Wisconsin/55/1975	H3N5	1975	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1732
CY021941.1	A/Albany/1/1976	H3N2	1976	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 3 passage(s)	1728
KM821280.1	A/Bilthoven/1761/1976	H3N2	1976	Homo sapiens	9606	human	Primates	Netherlands	Europe		1719
CY077793.1	A/Bilthoven/1761/1976	H3N2	1976	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK4 passage(s)	1755
KM821281.1	A/Bilthoven/2271/1976	H3N2	1976	Homo sapiens	9606	human	Primates	Netherlands	Europe		1734
KC296467.1	A/Bilthoven/2271/1976	H3N2	1976	Homo sapiens	9606	human	Primates	Netherlands	Europe		1765
CY113205.1	A/Bilthoven/5029/1976	H3N2	1976	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK3 MDCK1 passage(s)	1735
CY113189.1	A/Bilthoven/628/1976	H3N2	1976	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK1 MDCK1 passage(s)	1734
CY113221.1	A/Bilthoven/6545/1976	H3N2	1976	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK3 MDCK1 passage(s)	1738
CY022309.1	A/Memphis/104/1976	H3N2	1976	Homo sapiens	9606	human	Primates	USA: Memphis, TN	North America		1726
CY008692.1	A/Memphis/106/1976	H3N2	1976	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America		1724
CY008700.1	A/Memphis/108/1976	H3N2	1976	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America		1724
CY006835.1	A/Memphis/110/1976	H3N2	1976	Homo sapiens	9606	human	Primates	USA: Memphis, TN	North America		1724
M73771.1	A/duck/Alberta/78/1976	H3N2	1976								1765
CY180748.1	A/duck/Minnesota/34/1976	H3N8	1976	Anatidae	8830	avian	Anseriformes	USA: Minnesota	North America		1740
M73773.1	A/equine/France/1/1976	H3N8	1976						Europe		1762
CY180115.1	A/mallard/Wisconsin/34/1976	H3N8	1976	Anas platyrhynchos	8839	avian	Anseriformes	USA: DeSoto West, WI	North America		1728
CY180227.1	A/widgeon/Wisconsin/541/1976	H3N8	1976	Mareca penelope	8838	avian	Anseriformes	USA: DeSoto West, WI	North America		1740
CY021101.1	A/Albany/4/1977	H3N2	1977	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 2 passage(s)	1724
CY113229.1	A/Amsterdam/1609/1977	H3N2	1977	Homo sapiens	9606	human	Primates	Netherlands: Amsterdam	Europe	tMK1, MDCK1 passage(s)	1734
CY113237.1	A/Bilthoven/3895/1977	H3N2	1977	Homo sapiens	9606	human	Primates	Netherlands: Bilthoven	Europe	tMK3 MDCK1 passage(s)	1734
CY006731.1	A/Memphis/1/1977	H3N2	1977	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America	passage(s)	1721
CY008115.1	A/Memphis/2/1977	H3N2	1977	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America	AMN passage(s)	1721
CY006763.1	A/Nanjing/49/1977	H3N2	1977	Homo sapiens	9606	human	Primates	China:Nanjing	Asia	passage(s)	1724
CY113245.1	A/Rotterdam/5828/1977	H3N2	1977	Homo sapiens	9606	human	Primates	Netherlands: Rotterdam	Europe	tMK2 MDCK1 passage(s)	1725
CY113253.1	A/Rotterdam/8179/1977	H3N2	1977	Homo sapiens	9606	human	Primates	Netherlands: Rotterdam	Europe	tMK4 MDCK1 passage(s)	1735
CY113261.1	A/Texas/1/1977	H3N2	1977	Homo sapiens	9606	human	Primates	USA: Texas	North America	xMDCK1 passage(s)	1732
CY179547.1	A/mallard/Wisconsin/162/1977	H3N2	1977	Anas platyrhynchos	8839	avian	Anseriformes	USA: DeSoto, WI	North America		1732
CY179715.1	A/mallard/Wisconsin/18/1977	H3N6	1977	Anas platyrhynchos	8839	avian	Anseriformes	USA: DeSoto, WI	North America		1732
CY179555.1	A/mallard/Wisconsin/414/1977	H3N2	1977	Anas platyrhynchos	8839	avian	Anseriformes	USA: DeSoto, WI	North America		1732
CY179539.1	A/mallard/Wisconsin/85/1977	H3N8	1977	Anas platyrhynchos	8839	avian	Anseriformes	USA: DeSoto, WI	North America		1732
M73774.1	A/swine/Colorado/1/1977	H3N2	1977								1765
CY077912.1	A/swine/Italy/1850/1977	H3N2	1977	Sus scrofa	9823	non-human mammal	Artiodactyla	Italy	Europe	XMDCK1 passage(s)	1761
CY028652.1	A/wedge-tailed shearwater/Western Australia/405/1977	H3N8	1977	Ardenna pacifica	48683	avian	Procellariiformes	Australia: Pelsart Island, WA, Australia	Oceania	Egg 3-6 passage(s)	1725
CY014621.1	A/shearwater/Australia/405/1978	H3N8	1977-10-29	Aves	8782	avian		Australia	Oceania		1765
CY020221.1	A/Albany/14/1978	H3N2	1978	Homo sapiens	9606	human	Primates	USA: Albany County, NY	North America	pRhMK 3 passage(s)	1722
GU052299.1	A/American black duck/Western Australia/699/1978(H3N8)	H3N8	1978	Anas rubripes	75857	avian	Anseriformes	Australia	Oceania		1731
CY006699.1	A/Memphis/12/1978	H3N2	1978	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America	passage(s)	1721
CY007611.1	A/Memphis/19/1978	H3N2	1978	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America	passage(s)	1717
CY041306.1	A/black duck/Western Australia/702/1978	H3N8	1978	Anas superciliosa	45632	avian	Anseriformes	Australia: Perth, WA, Australia	Oceania	Egg 3-6 passage(s)	1729
EU742652.2	A/duck/NY/6874/1978	H3N2	1978	Anatidae	8830	avian	Anseriformes	USA	North America		1732
CY180924.1	A/duck/Wisconsin/1143/1978	H3N2	1978	Anatidae	8830	avian	Anseriformes	USA: Wisconsin	North America		1732
CY180956.1	A/duck/Wisconsin/1152/1978	H3N2	1978	Anatidae	8830	avian	Anseriformes	USA: Wisconsin	North America		1732
CY180996.1	A/duck/Wisconsin/1164/1978	H3N2	1978	Anatidae	8830	avian	Anseriformes	USA: Wisconsin	North America		1732
CY033481.1	A/equine/Kascakew/1/1978	H3N8	1978	Equus caballus	9796	non-human mammal	Perissodactyla				1717
M73776.1	A/mallard/New York/6874/1978	H3N2	1978								1765
LC431428.1	A/swine/Hong Kong/81/1978	H3N2	1978	Sus scrofa domesticus	9825	non-human mammal	Artiodactyla	Hong Kong	Asia		1765
CY006031.1	A/black duck/AUS/751/1978	H3N8	1978-01-26	Aves	8782	avian		Australia: Australia	Oceania		1765
CY028636.1	A/black duck/Perth/699/1978	H3N8	1978-01-26	Anas platyrhynchos	8839	avian	Anseriformes	Australia: Perth	Oceania		1729
CY005936.1	A/mallard duck/ALB/712/1978	H3N3	1978-08-15	Aves	8782	avian		Canada: Alberta	North America		1765
DQ508825.1	A/Bangkok/01/1979	H3N2	1979								1701
CY121000.1	A/Bangkok/1/1979	H3N2	1979	Homo sapiens	9606	human	Primates	Thailand: Bangkok	Asia	Egg passage(s)	1737
CY114429.1	A/Bangkok/1/1979	H3N2	1979	Homo sapiens	9606	human	Primates	Thailand	Asia	xtMK3 MDCK2 passage(s)	1737
PP927666.1	A/Equus ferus caballus/Suffolk/1/1979	H3N8	1979	Equus ferus	1114792	non-human mammal	Perissodactyla	United Kingdom: Newmarket, Suffolk	Europe		1762
CY032405.1	A/equine/Fontainbleu/1/1979	H3N8	1979	Equus caballus	9796	non-human mammal	Perissodactyla	France: Fontainbleu	Europe	P3 passage(s)	1725
CY032381.1	A/equine/Switzerland/1118/1979	H3N8	1979	Equus caballus	9796	non-human mammal	Perissodactyla	Switzerland	Europe		1723
CY180267.1	A/mallard/Wisconsin/144/1979	H3N8	1979	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1740
CY180275.1	A/mallard/Wisconsin/168/1979	H3N8	1979	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1740
CY180235.1	A/mallard/Wisconsin/29/1979	H3N8	1979	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1740
CY180243.1	A/mallard/Wisconsin/31/1979	H3N8	1979	Anas platyrhynchos	8839	avian	Anseriformes	USA: Wisconsin	North America		1740
CY005937.1	A/green-winged teal/ALB/438/1979	H3N8	1979-08-10	Aves	8782	avian		Canada: Alberta	North America		1765
CY005938.1	A/pintail duck/ALB/462/1979	H3N6	1979-08-10	Aves	8782	avian		Canada: Alberta	North America		1765
CY005915.1	A/mallard duck/ALB/564/1979	H3N8	1979-08-11	Aves	8782	avian		Canada: Alberta	North America		1765
CY005916.1	A/mallard duck/ALB/676/1979	H3N6	1979-08-13	Aves	8782	avian		Canada: Alberta	North America		1765
CY003488.1	A/Hong Kong/46/1980	H3N2	1980	Homo sapiens	9606	human	Primates	Hong Kong	Asia	E1 passage(s)	1737
CY008660.1	A/Memphis/1/1980	H3N2	1980	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America		1721
CY008468.1	A/Memphis/3/1980	H3N2	1980	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America		1730
CY007619.1	A/Memphis/4/1980	H3N2	1980	Homo sapiens	9606	human	Primates	USA:Memphis, TN	North America	passage(s)	1717
CY006203.1	A/Nanjing/13/1980	H3N2	1980	Homo sapiens	9606	human	Primates	China:Nanjing	Asia	passage(s)	1721
CY112353.1	A/Rotterdam/577/1980	H3N2	1980	Homo sapiens	9606	human	Primates	Netherlands: Rotterdam	Europe	tMK2 MDCK1 passage(s)	1731
CY180908.1	A/blue-winged teal/Wisconsin/156/1980	H3N2	1980	Spatula discors	75842	avian	Anseriformes	USA: DeSoto,WI east	North America		1740
CY028812.1	A/equine/California/1/1980	H3N8	1980	Equus caballus	9796	non-human mammal	Perissodactyla	USA: California	North America		1725
CY032937.1	A/equine/Kentucky/2/1980	H3N8	1980	Equus caballus	9796	non-human mammal	Perissodactyla	USA: Kentucky	North America		1723
CY028804.1	A/equine/Kentucky/4/1980	H3N8	1980	Equus caballus	9796	non-human mammal	Perissodactyla	USA: Kentucky	North America		1725
CY032389.1	A/equine/Romania/1/1980	H3N8	1980	Equus caballus	9796	non-human mammal	Perissodactyla	Romania	Europe		1722
CY180900.1	A/mallard/Wisconsin/155/1980	H3N2	1980	Anas platyrhynchos	8839	avian	Anseriformes	USA: DeSoto,WI east	North America		1740
CY028275.1	A/red-necked stint/Bunbury/4500/1980	H3N8	1980-06-12	Calidris ruficollis	272047	avian	Charadriiformes	Australia: Bunbury	Oceania		1728
CY113269.1	A/Netherlands/209/1980	H3N2	1980-12-01	Homo sapiens	9606	human	Primates	Netherlands	Europe	LLCMK2 tMK2 MDCK2 passage(s)	1732
CY014633.1	A/red-necked stint/Australia/4500/1980	H3N8	1980-12-06	Aves	8782	avian		Australia	Oceania		1765
